quantidade_de_alunos,nome_do_curso
1,Lógica de programação
59,Java para Web
7,C# para Web
36,Ruby on Rails
38,Cursos de Python
56,PHP com MySql
67,.NET para web
58,Novas integrações com Java
57,TDD com Java
55,Código limpo com C#
80,Preparatório para certificação Java
85,Hardware básico
3,Persistência com .NET
23,Desenvolvendo jogos
83,Análise de dados
55,Estatística básica
11,Internet das coisas
8,Programação funcional
10,Boas práticas em Java
61,Orientação objetos com Java
